grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
2;NA;NA;padre;ingeniero agronomo;2;2;2;1;E;B;B;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;C;D;D;D;D;D;D;C;D;B;A;NA;A;A;A;si;ingenieria filosofia;NA;B;NA;4;considero que si he tenido oportunidades de ir a las olimpiadas de la ciencia. Seria mi segundo año;si;porque las mujeres somos muy inteligentes;E;E;B;E;E
3;rural;no;NA;NA;4;3;3;1;D;C;C;B;D;C;A;C;C;C;D;C;D;D;E;C;C;A;D;D;D;D;D;C;NA;E;E;C;C;E;A;A;A;NA;C;A;no es seguro;ciencia;tallade de recurso economico;NA;NA;3;NA;si;tal vez tengan la oportunidad pero piensan que es una carrera para los hombres;C;C;NA;NA;NA
3;rural;si;madre;maestra;NA;2;NA;NA;C;B;B;B;D;D;D;D;D;C;C;D;C;C;C;D;B;D;C;D;D;E;D;C;D;C;C;D;C;D;B;B;A;NA;A;A;si;medicina;NA;B;NA;3;NA;si;porque creo que todos somos iguales;D;D;C;D;C
3;urbano;no;madre y padre;perito contador;2;3;3;1;B;B;C;D;B;D;D;D;D;E;D;D;D;D;D;D;B;C;D;D;D;D;D;D;D;D;D;D;D;D;A;B;A;NA;C;A;si;ciencia matematicas;NA;B;NA;4;NA;no;porque en algunos lugares no se toman mucho en cuenta a las mujeres;E;D;B;D;C
3;rural;no;NA;NA;4;2;2;1;A;D;A;D;A;E;D;E;E;E;D;D;E;E;D;D;B;D;E;D;D;E;E;E;E;E;E;D;D;E;B;B;B;NA;C;C;si;matematicas y expresion artistico;NA;B;NA;3;NA;si;porque nosotras las mujeres tambien somos capaces de hacer cualquier cosa;D;D;D;D;E
3;urbano;no;NA;NA;10;10;10;8;B;D;B;B;C;D;C;E;E;D;C;D;E;C;D;D;C;D;D;E;E;E;E;C;E;E;E;D;D;E;A;A;A;NA;A;A;si;medicina;NA;NA;NA;3;NA;si;porque ahora ya toman en cuenta a las mujeres en carreras como ingenieria y sistemas;D;D;E;D;E
3;suburbano;no;NA;NA;10;10;10;8;A;D;E;D;A;E;E;E;D;E;D;C;C;D;C;D;B;B;D;E;E;E;E;D;E;D;E;D;C;E;B;A;A;NA;A;C;si;biologia;NA;B;NA;5;NA;si;porque todos somos iguales tanto como hombres o mujeres tienen tanto como el derecho y oportunidad de estudiarlos porque biene de uno mismo;D;E;B;E;E
3;urbano;no;NA;NA;2;3;3;1;B;A;C;D;D;NA;C;E;E;E;E;D;E;E;E;E;B;E;E;E;E;C;E;E;E;E;E;E;C;E;A;A;A;NA;A;A;si;matematicas y quimica;NA;B;NA;3;NA;si;porque pienos que todos somos inteligentes y capaces de lograr nuestras metas;E;E;D;E;E
3;suburbano;no;NA;NA;2;3;3;1;B;D;C;C;D;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;B;D;C;D;D;B;D;A;A;A;NA;A;A;si;matematicas;NA;B;NA;2;porque el colegio no ofrece tantas oportunidades o si no las participantes son elegidas;si;porque todos temeos los mismos derechos y podemos hacer lo que queramos;D;D;B;D;D
3;rural;si;padre;ingeneria;2;3;3;NA;A;E;A;C;C;E;C;E;E;E;D;D;E;E;E;E;C;E;E;E;E;E;E;D;E;D;E;E;D;E;B;A;A;NA;A;A;si;matematica y tecnologia;NA;B;NA;4;NA;si;porque todos tenemos derecho a opinar;D;E;D;E;E
3;rural;no;NA;NA;1;3;2;1;A;D;D;D;E;E;B;E;E;E;E;E;E;E;E;D;D;E;E;E;E;E;E;B;E;E;E;D;D;E;A;A;A;NA;A;A;si;medicina;NA;B;NA;4;NA;no porque ahun se da un rasismos hacia las mujeres;NA;E;E;B;E;E
3;suburbano;si;madre y padre;madre trabajadora social padre perito contador;3;3;3;1;A;D;A;D;B;D;D;E;E;D;E;E;E;E;E;E;A;E;E;E;E;E;E;E;E;E;E;D;D;E;A;B;A;NA;C;A;si;agronomia- leyes- magisterio;NA;A;NA;5;NA;si;porque una mujer puede ser electrista mecanica si porque si podemos y lo ariamos mejor;E;E;E;E;E
3;rural;si;padre;comerciante;2;2;3;1;C;D;C;C;D;D;C;C;C;D;D;D;NA;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;C;D;A;A;A;NA;A;A;si;ciencias;NA;B;NA;NA;NA;si;todos tenemos los mismos derechos;D;D;D;D;D
3;urbano;no;NA;NA;5;3;4;1;C;E;A;B;B;D;C;E;E;E;B;E;D;D;C;C;C;E;E;D;E;D;E;C;E;E;D;D;D;E;A;B;B;NA;A;A;si;ingenieria agronomia;NA;B;NA;4;NA;si;porque muchas mujeres tienen buenas cualidades;E;D;NA;D;D
3;urbano;no;NA;NA;2;3;3;1;A;B;B;B;C;B;D;D;D;B;B;A;C;C;D;B;D;D;D;D;E;C;D;C;D;D;C;D;B;C;NA;NA;NA;NA;NA;NA;si;agronomia;NA;B;NA;3;NA;NA;NA;D;C;D;C;D
3;rural;no;NA;NA;2;4;2;1;A;E;A;E;A;E;E;E;E;E;D;D;D;D;E;E;A;D;D;D;E;D;D;A;D;D;E;E;D;E;A;A;A;NA;A;A;si;matematicas;NA;B;NA;4;NA;no;por la discriminacion que hay en Guatemala gacia las mujeres;E;D;E;E;E
