grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
3;rural;si;Padre;NA;4;9;6;2;A;B;C;D;D;C;A;E;E;D;B;E;E;E;E;E;D;D;E;E;B;E;E;E;A;E;A;D;D;B;B;C;C;no;si;no;si;Medico forence;NA;Asistir a la universidad;NA;3;NA;si;Porque somos seres humanos;D;C;E;B;D
3;rural;si;Padre;Contador;2;2;1;NA;A;D;B;D;B;E;E;E;E;E;C;E;E;E;E;D;C;E;E;E;E;D;E;E;E;E;D;D;D;E;A;A;A;NA;NA;si;si;Director de empresas;NA;Asistir a la universidad;NA;4;NA;si;Para ser independientes;D;D;C;D;E
3;rural;no;NA;Ni uno;4;5;3;NA;A;C;A;D;A;D;A;D;C;A;B;C;B;E;C;A;A;A;C;E;A;D;D;A;D;C;D;C;D;D;B;B;NA;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;Perito contador o mecanico;Pues porque no se si tengo la oportunidad;Trabajar en casa;NA;3;NA;si;Porque todos somos seres humanos;D;D;C;E;A
2;rural;no;NA;NA;9;10;10;5;B;B;E;E;E;B;B;E;E;E;E;B;E;E;E;E;B;B;B;E;E;E;E;E;E;E;E;E;E;B;A;A;B;si;no;no;no;NA;NA;NA;NA;4;NA;si;NA;E;E;B;E;E
2;rural;no;Padre;Chef;1;1;1;NA;A;A;B;B;B;B;B;D;C;C;B;B;C;E;C;C;C;C;C;C;D;D;D;C;D;D;D;D;D;D;B;B;B;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;NA;NA;Trabajar;NA;2;Porque no mucho me llama la atencion;si;Todos valemos lo mismo;C;C;C;C;C
2;rural;no;NA;NA;10;10;10;7;C;C;C;D;C;C;E;C;C;C;E;E;E;C;C;NA;NA;NA;NA;NA;NA;NA;NA;C;E;C;E;E;C;C;A;B;A;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;si;Medicina;NA;Asistir a la universidad;NA;5;NA;si;Todos tenemos derechos;E;E;C;E;C
3;urbano;no;NA;NA;NA;NA;NA;NA;A;D;C;B;C;D;B;E;D;E;D;B;C;C;C;D;D;B;D;B;C;C;C;B;D;B;C;C;C;C;B;B;B;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;si;Medicina;NA;Asistir a la universidad;NA;2;no lo se;si;Porque todos merecemos oportunidades;C;E;A;D;B
3;rural;no;NA;NA;10;10;10;NA;A;D;D;E;A;C;E;D;C;D;D;C;D;E;C;E;C;B;D;E;D;C;D;C;D;D;E;E;D;E;B;A;A;si;si;si;si;Cocinera;NA;Asistir a la universidad;NA;4;NA;si;Todos tienen derecho a estudiar;D;D;D;D;D
3;NA;NA;NA;NA;8;9;10;8;C;C;C;D;D;C;D;E;C;C;C;D;C;D;B;D;D;D;E;E;E;C;E;C;E;E;D;E;C;E;A;B;B;no estoy seguro/a;no estoy seguro/a;si;si;Pintora;NA;Ser mejor pintora;NA;3;no he buscado;NA;NA;E;D;C;D;E
3;semiurbano;no;NA;Transporta producto;4;10;9;4;B;D;B;D;B;D;D;E;D;D;B;B;E;C;E;D;B;D;B;D;D;E;B;B;C;D;E;D;B;D;A;B;A;no estoy seguro/a;si;no;si;Medicina;NA;Asistir a la universidad;NA;NA;NA;si;Por que el que tiene oportunidad las aprovecha;E;D;B;E;D
3;rural;no;NA;Panadero;2;2;1;2;A;C;C;B;A;D;C;C;C;D;C;D;D;C;D;D;C;D;D;C;D;C;E;E;E;E;E;C;C;E;A;B;B;si;si;si;no estoy seguro/a;Doctora ;Tendre que ver con el tiempo;Asistir a la universidad;NA;5;no lo se;si;Todos podemos;C;C;C;A;C
3;urbano;no;NA;Madre: Ama de casa, Padre: Agricultor;4;4;4;4;B;D;D;D;B;D;D;E;C;D;D;C;C;D;B;D;B;C;D;D;E;E;E;C;D;D;E;D;D;C;B;A;A;si;si;no estoy seguro/a;si;Abogado o Doctor;NA;Asistir a la universidad;NA;4;NA;si;Tienen las mismas habilidades;D;D;E;D;E
3;rural;si;Padre;Ingenieria;2;4;3;1;A;A;A;D;D;A;D;D;A;A;D;D;D;D;A;E;A;D;B;A;E;D;E;D;E;A;E;E;D;E;A;A;B;si;no;si;NA;Ingenieria;si para aprender mas ;Asistir a la universidad;NA;4;NA;si;Porque tenemos derechos. ;B;C;D;B;D
3;rural;no;NA;NA;2;2;1;NA;A;D;A;C;C;C;C;E;A;C;E;D;D;E;D;D;C;E;D;D;E;D;D;E;D;C;D;E;D;E;A;B;B;no estoy seguro/a;no;si;si;NA;NA;Asistir a la universidad;NA;NA;NA;NA;NA;D;C;C;C;D
3;rural;no;Padre;Constructor;4;4;2;NA;A;B;C;A;B;A;B;C;C;B;D;B;C;D;D;A;A;B;B;D;C;E;E;E;E;B;C;B;E;D;A;A;A;no estoy seguro/a;no estoy seguro/a;si;si;Mecanica;si, porque es bueno;Asistir a la universidad;NA;3;Porque son buenas.;si;Porque todos somos iguales;D;D;C;D;E
3;rural;si;Padre;ingenieria;3;3;2;NA;A;E;A;E;E;E;A;E;E;E;E;E;C;E;E;C;C;E;E;E;E;E;C;B;B;E;E;E;E;E;A;A;A;no estoy seguro/a;si;no estoy seguro/a;si;Enfermeria;NA;Asistir a la universidad;NA;4;NA;si;NA;E;E;E;C;E
3;semiurbano;si;Padre;Automotores;7;6;10;9;C;D;B;D;C;C;D;E;D;C;D;D;D;C;E;D;C;E;D;E;D;E;E;D;E;E;D;E;E;E;B;A;B;si;si;si;si;Gastronomia;si planeo en ir para reforzar lo que aprendi;Asistir a la universidad;NA;5;NA;si;Porque no hay que discriminar;D;D;E;C;D
3;rural;no;NA;NA;2;1;1;NA;A;E;A;E;B;E;D;E;E;E;E;E;E;E;D;D;A;C;E;E;D;C;E;C;E;E;D;D;C;E;A;A;A;si;si;si;si;Medicina;NA;Asistir a la universidad;NA;3;NA;si;Porque si nos lo proponemos y luchamos somos capaces de mas.;E;E;E;C;C
3;urbano;no;NA;NA;2;2;1;NA;A;A;A;A;A;E;A;E;A;E;A;E;A;A;A;E;A;A;A;A;E;A;A;A;A;A;A;E;A;A;A;A;A;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;si;Contadora;NA;Asistir a la universidad;NA;1;NA;si;Por que tambien tienen el derecho de prepararse. ;A;A;A;A;E
3;rural;no;NA;NA;NA;10;NA;NA;A;E;B;A;E;E;A;E;E;C;C;A;E;E;C;C;E;C;C;D;E;C;E;C;E;C;E;E;C;C;A;B;A;si;si;no;si;Doctora;NA;Doctora;NA;3;NA;si;Porque los dos somos humanos y tenemos los mismos derechos. ;C;C;C;B;C
3;semiurbano;no;NA;NA;3;3;2;1;B;D;C;C;C;E;D;D;D;C;E;A;C;E;E;D;C;B;B;D;D;B;D;B;C;C;B;D;B;D;A;B;A;no estoy seguro/a;no;no;si;Auditoria;NA;Asistir a la universidad y trabajar en casa;NA;2;NA;si;si;D;C;C;B;B
3;rural;NA;NA;NA;NA;10;NA;NA;A;E;E;A;A;C;D;A;B;D;A;B;D;E;E;A;C;B;E;A;C;B;A;A;B;C;D;B;E;D;A;C;C;no estoy seguro/a;no estoy seguro/a;no estoy seguro/a;si;Doctora;NA;Doctora;NA;5;NA;si;Todos somos iguales;A;A;A;A;A
